-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2016 through 12/31/2025 in LST
Location: Latitude  6.9083   Longitude 79.9649 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2016,5.6762,6.0982,6.7207,6.6353,4.6404,5.663,5.7958,6.1906,6.379,5.934,4.812,5.4454,5.8306
ALLSKY_SFC_SW_DWN,2017,5.7744,6.0768,6.5801,6.5287,5.4557,5.4293,5.777,5.8601,5.5078,5.2706,4.4698,5.3928,5.6758
ALLSKY_SFC_SW_DWN,2018,5.615,6.4942,5.9909,5.958,4.5674,5.3042,5.6702,5.5994,5.9755,4.8598,5.0074,5.1523,5.5078
ALLSKY_SFC_SW_DWN,2019,5.9412,6.3365,6.7385,6.1502,5.4655,5.135,5.5726,4.6848,4.8545,4.7268,5.459,4.9169,5.4926
ALLSKY_SFC_SW_DWN,2020,6.0017,6.3334,6.6869,6.673,5.0246,5.5313,4.8538,5.7209,4.8814,5.885,5.2862,5.1029,5.6623
ALLSKY_SFC_SW_DWN,2021,4.8598,6.5448,6.079,6.4322,5.2678,5.6842,5.3921,5.4511,5.575,5.1192,4.4002,5.6002,5.5255
ALLSKY_SFC_SW_DWN,2022,5.9558,6.0624,6.4298,5.6974,4.8677,5.3347,5.1943,5.6369,6.1764,5.0086,4.8698,4.4921,5.472
ALLSKY_SFC_SW_DWN,2023,5.3623,5.9275,6.2974,6.4567,5.3093,5.3405,5.5824,6.1486,4.3925,4.5518,5.183,4.7575,5.4396
ALLSKY_SFC_SW_DWN,2024,5.423,6.3094,6.5921,6.2338,4.4381,5.0904,4.871,5.2162,5.7014,5.0299,4.5511,5.2498,5.387
ALLSKY_SFC_SW_DWN,2025,4.3944,6.4334,6.1452,5.8987,4.691,5.5414,5.5428,6.0965,5.8646,4.9589,4.813,5.2805,5.4631
